Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / Condition,Google Shopping / Custom Product,Status
filet-mignon-wagyu-halal,"Filet Mignon de Bœuf Wagyu Halal","<p><strong>Le roi des coupes : une tendreté absolue que vous n'oublierez jamais.</strong></p>
<p>Le Filet Mignon est la coupe la plus noble du bœuf Wagyu Halal des Élevages Lassonde. Son persillage exceptionnel lui confère une texture fondante et un goût beurré incomparable. Idéal pour les occasions spéciales et les repas gastronomiques.</p>
<h3>Caractéristiques</h3>
<ul>
<li>Bœuf Wagyu certifié Halal FAMBRAS</li>
<li>Élevage québécois — Les Élevages Lassonde</li>
<li>Persillage exceptionnel pour une tendreté incomparable</li>
<li>Coupe issue du muscle psoas, le moins sollicité de l'animal</li>
</ul>
<h3>Cuisson recommandée</h3>
<p>Saisir rapidement à feu vif à la poêle en fonte ou au grill. Cuire entre saignant et à point pour préserver tout le fondant. Laisser reposer 3-5 minutes avant de servir.</p>
<h3>Conservation</h3>
<p>Garder réfrigéré entre 0°C et 4°C. Consommer avant la date indiquée sur l'emballage.</p>
<p><em>Poids variable — chaque pièce est unique. Prix calculé selon le poids exact à la livre.</em></p>","Les Élevages Lassonde","Viande Wagyu Halal","Halal, Wagyu, FAMBRAS, Québec, Coupes Ultra Premium, Grill, Poêle",TRUE,Poids,Au poids ($/lb),LASSONDE-FILET-MIGNON,0,shopify,0,deny,manual,126.24,,TRUE,TRUE,,,"Filet Mignon de Bœuf Wagyu Halal — Les Élevages Lassonde",FALSE,"Filet Mignon Wagyu Halal Québec | Les Élevages Lassonde","Filet Mignon de Bœuf Wagyu Halal certifié FAMBRAS, élevé au Québec. Persillage exceptionnel, livraison sous vide. Commander en ligne.","Food, Beverages & Tobacco > Food Items > Meat",,,,Wagyu Halal Québec,new,TRUE,active
hampe-wagyu-halal,"Hampe de Bœuf Wagyu Halal","<p><strong>Un caractère intense et un goût de bœuf prononcé qui séduira les connaisseurs.</strong></p>
<p>La Hampe de Bœuf Wagyu Halal des Élevages Lassonde est une coupe diaphragmatique à la saveur puissante et profonde. Sa texture fibreuse, traversée d'un persillage généreux, lui donne un profil gustatif unique. Appréciée des amateurs de viande aux saveurs affirmées.</p>
<h3>Caractéristiques</h3>
<ul>
<li>Bœuf Wagyu certifié Halal FAMBRAS</li>
<li>Élevage québécois — Les Élevages Lassonde</li>
<li>Persillage exceptionnel pour une tendreté incomparable</li>
<li>Coupe diaphragmatique à la saveur bœuf très marquée</li>
</ul>
<h3>Cuisson recommandée</h3>
<p>Cuire à feu très vif, rapidement, pour une cuisson saignante à rosée. Trancher toujours dans le sens perpendiculaire aux fibres pour maximiser la tendreté. Une marinade légère à l'huile d'olive et aux herbes sublime ses arômes naturels.</p>
<h3>Conservation</h3>
<p>Garder réfrigéré entre 0°C et 4°C. Consommer avant la date indiquée sur l'emballage.</p>
<p><em>Poids variable — chaque pièce est unique. Prix calculé selon le poids exact à la livre.</em></p>","Les Élevages Lassonde","Viande Wagyu Halal","Halal, Wagyu, FAMBRAS, Québec, Coupes Premium, Grill, Poêle",TRUE,Poids,Au poids ($/lb),LASSONDE-HAMPE,0,shopify,0,deny,manual,97.54,,TRUE,TRUE,,,"Hampe de Bœuf Wagyu Halal — Les Élevages Lassonde",FALSE,"Hampe Wagyu Halal Québec | Les Élevages Lassonde","Hampe de Bœuf Wagyu Halal certifié FAMBRAS des Élevages Lassonde. Saveur intense et persillage Wagyu. Élevage québécois, livré sous vide.","Food, Beverages & Tobacco > Food Items > Meat",,,,Wagyu Halal Québec,new,TRUE,active
contre-filet-wagyu-halal,"Contre Filet de Bœuf Wagyu Halal","<p><strong>La noblesse du faux-filet : persillé, tendre et d'une saveur bœuf incomparable.</strong></p>
<p>Le Contre Filet Wagyu Halal des Élevages Lassonde offre le parfait équilibre entre tendreté et saveur. Sa fine bande de gras périphérique fond à la cuisson et enrobe chaque bouchée d'un arôme riche et beurré. Une coupe versatile qui se distingue autant au grill qu'à la poêle.</p>
<h3>Caractéristiques</h3>
<ul>
<li>Bœuf Wagyu certifié Halal FAMBRAS</li>
<li>Élevage québécois — Les Élevages Lassonde</li>
<li>Persillage exceptionnel pour une tendreté incomparable</li>
<li>Bande de gras périphérique qui enrichit la saveur à la cuisson</li>
</ul>
<h3>Cuisson recommandée</h3>
<p>Griller ou poêler à feu vif, cuisson saignante à point. Arroser régulièrement de son propre gras durant la cuisson. Laisser reposer 5 minutes avant de trancher pour conserver les jus.</p>
<h3>Conservation</h3>
<p>Garder réfrigéré entre 0°C et 4°C. Consommer avant la date indiquée sur l'emballage.</p>
<p><em>Poids variable — chaque pièce est unique. Prix calculé selon le poids exact à la livre.</em></p>","Les Élevages Lassonde","Viande Wagyu Halal","Halal, Wagyu, FAMBRAS, Québec, Coupes Ultra Premium, Grill, Poêle",TRUE,Poids,Au poids ($/lb),LASSONDE-CONTRE-FILET,0,shopify,0,deny,manual,91.80,,TRUE,TRUE,,,"Contre Filet de Bœuf Wagyu Halal — Les Élevages Lassonde",FALSE,"Contre Filet Wagyu Halal Québec | Les Élevages Lassonde","Contre Filet de Bœuf Wagyu Halal certifié FAMBRAS, élevé au Québec par Les Élevages Lassonde. Persillage Wagyu, livraison sous vide.","Food, Beverages & Tobacco > Food Items > Meat",,,,Wagyu Halal Québec,new,TRUE,active
faux-filet-wagyu-halal,"Faux Filet de Bœuf Wagyu Halal","<p><strong>La coupe emblématique du grill, sublimée par le persillage Wagyu.</strong></p>
<p>Le Faux Filet Wagyu Halal des Élevages Lassonde est l'une des coupes les plus appréciées des amateurs de steak. Son persillage intramusculaire intense lui confère une texture fondante et des arômes complexes de noisette et de beurre. La référence pour un repas mémorable.</p>
<h3>Caractéristiques</h3>
<ul>
<li>Bœuf Wagyu certifié Halal FAMBRAS</li>
<li>Élevage québécois — Les Élevages Lassonde</li>
<li>Persillage exceptionnel pour une tendreté incomparable</li>
<li>Coupe de la longe, idéale pour les grillades et poêlées</li>
</ul>
<h3>Cuisson recommandée</h3>
<p>Saisir à feu très vif, 2-3 minutes par côté pour une cuisson saignante. La chaleur intense permet de caraméliser la surface tout en préservant le cœur rosé et juteux. Assaisonner simplement de fleur de sel et poivre noir.</p>
<h3>Conservation</h3>
<p>Garder réfrigéré entre 0°C et 4°C. Consommer avant la date indiquée sur l'emballage.</p>
<p><em>Poids variable — chaque pièce est unique. Prix calculé selon le poids exact à la livre.</em></p>","Les Élevages Lassonde","Viande Wagyu Halal","Halal, Wagyu, FAMBRAS, Québec, Coupes Ultra Premium, Grill, Poêle",TRUE,Poids,Au poids ($/lb),LASSONDE-FAUX-FILET,0,shopify,0,deny,manual,86.07,,TRUE,TRUE,,,"Faux Filet de Bœuf Wagyu Halal — Les Élevages Lassonde",FALSE,"Faux Filet Wagyu Halal Québec | Les Élevages Lassonde","Faux Filet de Bœuf Wagyu Halal certifié FAMBRAS des Élevages Lassonde. Persillage intense, saveur incomparable. Élevé au Québec.","Food, Beverages & Tobacco > Food Items > Meat",,,,Wagyu Halal Québec,new,TRUE,active
tomahawk-wagyu-halal,"Tomahawk de Bœuf Wagyu Halal","<p><strong>Spectaculaire et savoureux : le Tomahawk est un festin à lui seul.</strong></p>
<p>Le Tomahawk Wagyu Halal des Élevages Lassonde est une côte de bœuf avec l'os long, taillée pour impressionner autant visuellement que gustativement. Son généreux persillage Wagyu se fond à la cuisson pour envelopper chaque bouchée d'une richesse incomparable. Une pièce maîtresse pour les grandes occasions.</p>
<h3>Caractéristiques</h3>
<ul>
<li>Bœuf Wagyu certifié Halal FAMBRAS</li>
<li>Élevage québécois — Les Élevages Lassonde</li>
<li>Persillage exceptionnel pour une tendreté incomparable</li>
<li>Os long French trimmed — présentation spectaculaire et os riche en saveur</li>
</ul>
<h3>Cuisson recommandée</h3>
<p>Idéal au grill au charbon ou au kamado : saisir à feu direct puis terminer en cuisson indirecte à 120°C jusqu'à une température interne de 52-54°C. Laisser reposer 10 minutes avant de servir entier en table pour le spectacle.</p>
<h3>Conservation</h3>
<p>Garder réfrigéré entre 0°C et 4°C. Consommer avant la date indiquée sur l'emballage.</p>
<p><em>Poids variable — chaque pièce est unique. Prix calculé selon le poids exact à la livre.</em></p>","Les Élevages Lassonde","Viande Wagyu Halal","Halal, Wagyu, FAMBRAS, Québec, Coupes Ultra Premium, Grill, BBQ",TRUE,Poids,Au poids ($/lb),LASSONDE-TOMAHAWK,0,shopify,0,deny,manual,86.07,,TRUE,TRUE,,,"Tomahawk de Bœuf Wagyu Halal — Les Élevages Lassonde",FALSE,"Tomahawk Wagyu Halal Québec | Les Élevages Lassonde","Tomahawk de Bœuf Wagyu Halal certifié FAMBRAS, élevé au Québec. Pièce spectaculaire au persillage exceptionnel. Commander en ligne.","Food, Beverages & Tobacco > Food Items > Meat",,,,Wagyu Halal Québec,new,TRUE,active
onglet-wagyu-halal,"Onglet de Bœuf Wagyu Halal","<p><strong>La coupe secrète des bouchers : une saveur de bœuf d'une intensité rare.</strong></p>
<p>L'Onglet Wagyu Halal des Élevages Lassonde est longtemps resté le privilège des initiés. Sa texture fibreuse et son goût profond de bœuf, rehaussé par le persillage Wagyu, en font une des coupes les plus savoureuses de l'animal. Une seule pièce par bête — un vrai trésor.</p>
<h3>Caractéristiques</h3>
<ul>
<li>Bœuf Wagyu certifié Halal FAMBRAS</li>
<li>Élevage québécois — Les Élevages Lassonde</li>
<li>Persillage exceptionnel pour une tendreté incomparable</li>
<li>Coupe unique — une seule pièce par animal, très recherchée</li>
</ul>
<h3>Cuisson recommandée</h3>
<p>Toujours cuire saignant ou rosé, jamais bien cuit : la chaleur excessive durcirait les fibres. Saisir à la poêle très chaude ou au grill 2 minutes par côté. Trancher perpendiculairement aux fibres et assaisonner d'une persillade légère.</p>
<h3>Conservation</h3>
<p>Garder réfrigéré entre 0°C et 4°C. Consommer avant la date indiquée sur l'emballage.</p>
<p><em>Poids variable — chaque pièce est unique. Prix calculé selon le poids exact à la livre.</em></p>","Les Élevages Lassonde","Viande Wagyu Halal","Halal, Wagyu, FAMBRAS, Québec, Coupes Premium, Grill, Poêle",TRUE,Poids,Au poids ($/lb),LASSONDE-ONGLET,0,shopify,0,deny,manual,80.33,,TRUE,TRUE,,,"Onglet de Bœuf Wagyu Halal — Les Élevages Lassonde",FALSE,"Onglet Wagyu Halal Québec | Les Élevages Lassonde","Onglet de Bœuf Wagyu Halal certifié FAMBRAS des Élevages Lassonde. Coupe rare à la saveur intense. Élevage québécois, livré sous vide.","Food, Beverages & Tobacco > Food Items > Meat",,,,Wagyu Halal Québec,new,TRUE,active
1023-wagyu-halal,"1023 de Bœuf Wagyu Halal","<p><strong>La coupe 1023 : découvrez ce joyau méconnu du Wagyu québécois.</strong></p>
<p>La coupe 1023 des Élevages Lassonde est une pièce interne issue de la région de la surlonge, peu connue du grand public mais prisée par les professionnels. Son persillage Wagyu exceptionnel lui confère une tendreté et une jutosité remarquables à un prix accessible. Une découverte gastronomique à faire absolument.</p>
<h3>Caractéristiques</h3>
<ul>
<li>Bœuf Wagyu certifié Halal FAMBRAS</li>
<li>Élevage québécois — Les Élevages Lassonde</li>
<li>Persillage exceptionnel pour une tendreté incomparable</li>
<li>Coupe interne de la surlonge — peu connue, très appréciée des bouchers</li>
</ul>
<h3>Cuisson recommandée</h3>
<p>Cuire à la poêle ou au grill à feu vif, en cuisson saignante à rosée. Sa structure musculaire délicate bénéficie d'une cuisson rapide. Laisser reposer quelques minutes et trancher en biais pour révéler toute sa tendreté.</p>
<h3>Conservation</h3>
<p>Garder réfrigéré entre 0°C et 4°C. Consommer avant la date indiquée sur l'emballage.</p>
<p><em>Poids variable — chaque pièce est unique. Prix calculé selon le poids exact à la livre.</em></p>","Les Élevages Lassonde","Viande Wagyu Halal","Halal, Wagyu, FAMBRAS, Québec, Coupes Accessibles, Grill, Poêle",TRUE,Poids,Au poids ($/lb),LASSONDE-1023,0,shopify,0,deny,manual,77.46,,TRUE,TRUE,,,"1023 de Bœuf Wagyu Halal — Les Élevages Lassonde",FALSE,"Coupe 1023 Wagyu Halal Québec | Les Élevages Lassonde","Coupe 1023 de Bœuf Wagyu Halal certifié FAMBRAS, élevé au Québec. Pièce méconnue au persillage remarquable. Commander en ligne.","Food, Beverages & Tobacco > Food Items > Meat",,,,Wagyu Halal Québec,new,TRUE,active
t-bone-wagyu-halal,"T-Bone de Bœuf Wagyu Halal","<p><strong>Deux coupes en une : le filet et le contre-filet réunis autour d'un os en T.</strong></p>
<p>Le T-Bone Wagyu Halal des Élevages Lassonde offre le meilleur des deux mondes : la tendreté du filet d'un côté, la saveur intense du contre-filet de l'autre, séparés par l'os en T qui enrichit la cuisson de ses sucs. Une pièce généreuse pour les vrais amateurs de bœuf.</p>
<h3>Caractéristiques</h3>
<ul>
<li>Bœuf Wagyu certifié Halal FAMBRAS</li>
<li>Élevage québécois — Les Élevages Lassonde</li>
<li>Persillage exceptionnel pour une tendreté incomparable</li>
<li>Double coupe avec os — filet et contre-filet dans une même pièce</li>
</ul>
<h3>Cuisson recommandée</h3>
<p>Griller à feu vif au charbon ou au gaz, environ 4-5 minutes par côté pour une cuisson à point. Positionner la partie filet légèrement à l'écart de la chaleur directe car elle cuit plus vite. Assaisonner généreusement de sel et poivre avant cuisson.</p>
<h3>Conservation</h3>
<p>Garder réfrigéré entre 0°C et 4°C. Consommer avant la date indiquée sur l'emballage.</p>
<p><em>Poids variable — chaque pièce est unique. Prix calculé selon le poids exact à la livre.</em></p>","Les Élevages Lassonde","Viande Wagyu Halal","Halal, Wagyu, FAMBRAS, Québec, Coupes Ultra Premium, Grill, BBQ",TRUE,Poids,Au poids ($/lb),LASSONDE-T-BONE,0,shopify,0,deny,manual,77.46,,TRUE,TRUE,,,"T-Bone de Bœuf Wagyu Halal — Les Élevages Lassonde",FALSE,"T-Bone Wagyu Halal Québec | Les Élevages Lassonde","T-Bone de Bœuf Wagyu Halal certifié FAMBRAS des Élevages Lassonde. Filet et contre-filet en une pièce. Élevage québécois, livré sous vide.","Food, Beverages & Tobacco > Food Items > Meat",,,,Wagyu Halal Québec,new,TRUE,active
macreuse-wagyu-halal,"Macreuse de Bœuf Wagyu Halal","<p><strong>La macreuse Wagyu : une tendreté inattendue pour une coupe d'épaule d'exception.</strong></p>
<p>La Macreuse de Bœuf Wagyu Halal des Élevages Lassonde transforme cette coupe d'épaule en une expérience gastronomique. Le persillage Wagyu pénètre profondément ses fibres musculaires, la rendant étonnamment tendre à la cuisson lente ou en steak. Polyvalente et savoureuse.</p>
<h3>Caractéristiques</h3>
<ul>
<li>Bœuf Wagyu certifié Halal FAMBRAS</li>
<li>Élevage québécois — Les Élevages Lassonde</li>
<li>Persillage exceptionnel pour une tendreté incomparable</li>
<li>Coupe d'épaule au collagène naturel qui fond à la cuisson lente</li>
</ul>
<h3>Cuisson recommandée</h3>
<p>Idéale en braisé ou en cuisson lente à basse température (8h au mijoteuse). Peut aussi être coupée en steaks épais et grillée saignante. Dans les deux cas, le résultat est une viande fondante aux arômes complexes.</p>
<h3>Conservation</h3>
<p>Garder réfrigéré entre 0°C et 4°C. Consommer avant la date indiquée sur l'emballage.</p>
<p><em>Poids variable — chaque pièce est unique. Prix calculé selon le poids exact à la livre.</em></p>","Les Élevages Lassonde","Viande Wagyu Halal","Halal, Wagyu, FAMBRAS, Québec, Coupes Premium, Braisé, Mijoteuse",TRUE,Poids,Au poids ($/lb),LASSONDE-MACREUSE,0,shopify,0,deny,manual,74.59,,TRUE,TRUE,,,"Macreuse de Bœuf Wagyu Halal — Les Élevages Lassonde",FALSE,"Macreuse Wagyu Halal Québec | Les Élevages Lassonde","Macreuse de Bœuf Wagyu Halal certifié FAMBRAS, élevé au Québec. Tendre et savoureuse en braisé ou en steak. Commander en ligne.","Food, Beverages & Tobacco > Food Items > Meat",,,,Wagyu Halal Québec,new,TRUE,active
denver-wagyu-halal,"Denver de Bœuf Wagyu Halal","<p><strong>Le Denver : la révélation du grill, tendre et persillée à souhait.</strong></p>
<p>Le Denver de Bœuf Wagyu Halal des Élevages Lassonde est l'une des coupes les plus tendres issues de l'épaule. Relativement récente dans la nomenclature bouchère, elle séduit par son persillage généreux et sa saveur douce et beurrée. Un steak accessible qui rivalise avec les grandes coupes.</p>
<h3>Caractéristiques</h3>
<ul>
<li>Bœuf Wagyu certifié Halal FAMBRAS</li>
<li>Élevage québécois — Les Élevages Lassonde</li>
<li>Persillage exceptionnel pour une tendreté incomparable</li>
<li>Coupe de l'épaule sous-scapulaire — naturellement tendre et bien persillée</li>
</ul>
<h3>Cuisson recommandée</h3>
<p>Griller ou poêler à feu vif, 3-4 minutes par côté pour une cuisson rosée. Trancher en fines lamelles dans le sens contraire des fibres. Une touche de beurre aux herbes en fin de cuisson magnifie ses arômes naturels.</p>
<h3>Conservation</h3>
<p>Garder réfrigéré entre 0°C et 4°C. Consommer avant la date indiquée sur l'emballage.</p>
<p><em>Poids variable — chaque pièce est unique. Prix calculé selon le poids exact à la livre.</em></p>","Les Élevages Lassonde","Viande Wagyu Halal","Halal, Wagyu, FAMBRAS, Québec, Steaks et Grill, Grill, Poêle",TRUE,Poids,Au poids ($/lb),LASSONDE-DENVER,0,shopify,0,deny,manual,74.59,,TRUE,TRUE,,,"Denver de Bœuf Wagyu Halal — Les Élevages Lassonde",FALSE,"Denver Steak Wagyu Halal Québec | Les Élevages Lassonde","Denver de Bœuf Wagyu Halal certifié FAMBRAS des Élevages Lassonde. Tendre, persillé et savoureux. Élevage québécois, livré sous vide.","Food, Beverages & Tobacco > Food Items > Meat",,,,Wagyu Halal Québec,new,TRUE,active
